time,x,z
5,1299.96,10670.4
5.01,1302.56,10670.4
5.02,1305.16,10670.4
5.03,1307.76,10670.4
5.04,1310.36,10670.4
5.05,1312.96,10670.4
5.06,1315.56,10670.4
5.07,1318.16,10670.4
5.08,1320.76,10670.4
5.09,1323.36,10670.4
5.1,1325.96,10670.4
5.11,1328.56,10670.4
5.12,1331.16,10670.4
5.13,1333.76,10670.4
5.14,1336.36,10670.4
5.15,1338.96,10670.4
5.16,1341.56,10670.4
5.17,1344.16,10670.4
5.18,1346.76,10670.4
5.19,1349.36,10670.4
5.2,1351.96,10670.4
5.21,1354.56,10670.4
5.22,1357.16,10670.4
5.23,1359.76,10670.4
5.24,1362.36,10670.4
5.25,1364.96,10670.4
5.26,1367.56,10670.4
5.27,1370.16,10670.4
5.28,1372.76,10670.4
5.29,1375.36,10670.4
5.3,1377.96,10670.4
5.31,1380.56,10670.4
5.32,1383.16,10670.4
5.33,1385.76,10670.4
5.34,1388.36,10670.5
5.35,1390.96,10670.5
5.36,1393.56,10670.5
5.37,1396.16,10670.5
5.38,1398.76,10670.5
5.39,1401.36,10670.5
5.4,1403.96,10670.5
5.41,1406.56,10670.5
5.42,1409.16,10670.5
5.43,1411.76,10670.5
5.44,1414.36,10670.5
5.45,1416.96,10670.5
5.46,1419.55,10670.5
5.47,1422.15,10670.5
5.48,1424.75,10670.5
5.49,1427.35,10670.5
5.5,1429.95,10670.5
5.51,1432.55,10670.5
5.52,1435.15,10670.5
5.53,1437.75,10670.5
5.54,1440.35,10670.5
5.55,1442.95,10670.5
5.56,1445.55,10670.5
5.57,1448.15,10670.5
5.58,1450.75,10670.5
5.59,1453.35,10670.5
5.6,1455.95,10670.5
5.61,1458.55,10670.5
5.62,1461.15,10670.5
5.63,1463.75,10670.5
5.64,1466.35,10670.5
5.65,1468.95,10670.5
5.66,1471.55,10670.5
5.67,1474.15,10670.5
5.68,1476.75,10670.5
5.69,1479.35,10670.5
5.7,1481.95,10670.5
5.71,1484.55,10670.5
5.72,1487.15,10670.5
5.73,1489.75,10670.5
5.74,1492.35,10670.5
5.75,1494.95,10670.5
5.76,1497.55,10670.5
5.77,1500.15,10670.5
5.78,1502.75,10670.5
5.79,1505.35,10670.5
5.8,1507.95,10670.5
5.81,1510.55,10670.5
5.82,1513.15,10670.5
5.83,1515.75,10670.5
5.84,1518.35,10670.5
5.85,1520.95,10670.5
5.86,1523.55,10670.5
5.87,1526.15,10670.5
5.88,1528.74,10670.5
5.89,1531.34,10670.5
5.9,1533.94,10670.6
5.91,1536.54,10670.6
5.92,1539.14,10670.6
5.93,1541.74,10670.6
5.94,1544.34,10670.6
5.95,1546.94,10670.6
5.96,1549.54,10670.6
5.97,1552.14,10670.6
5.98,1554.74,10670.6
5.99,1557.34,10670.6
6,1559.94,10670.6
6.01,1562.54,10670.6
6.02,1565.14,10670.6
6.03,1567.74,10670.6
6.04,1570.34,10670.6
6.05,1572.94,10670.6
6.06,1575.54,10670.6
6.07,1578.14,10670.6
6.08,1580.74,10670.6
6.09,1583.34,10670.6
6.1,1585.94,10670.6
6.11,1588.54,10670.6
6.12,1591.14,10670.6
6.13,1593.74,10670.6
6.14,1596.34,10670.6
6.15,1598.94,10670.6
6.16,1601.54,10670.6
6.17,1604.14,10670.6
6.18,1606.74,10670.6
6.19,1609.34,10670.6
6.2,1611.94,10670.6
6.21,1614.54,10670.6
6.22,1617.14,10670.6
6.23,1619.74,10670.6
6.24,1622.34,10670.6
6.25,1624.93,10670.6
6.26,1627.53,10670.6
6.27,1630.13,10670.6
6.28,1632.73,10670.6
6.29,1635.33,10670.6
6.3,1637.93,10670.6
6.31,1640.53,10670.6
6.32,1643.13,10670.6
6.33,1645.73,10670.6
6.34,1648.33,10670.6
6.35,1650.93,10670.6
6.36,1653.53,10670.6
6.37,1656.13,10670.6
6.38,1658.73,10670.6
6.39,1661.33,10670.6
6.4,1663.93,10670.6
6.41,1666.53,10670.7
6.42,1669.13,10670.7
6.43,1671.73,10670.7
6.44,1674.33,10670.7
6.45,1676.93,10670.7
6.46,1679.53,10670.7
6.47,1682.13,10670.7
6.48,1684.73,10670.7
6.49,1687.33,10670.7
6.5,1689.93,10670.7
6.51,1692.53,10670.7
6.52,1695.13,10670.7
6.53,1697.73,10670.7
6.54,1700.33,10670.7
6.55,1702.93,10670.7
6.56,1705.53,10670.7
6.57,1708.13,10670.7
6.58,1710.72,10670.7
6.59,1713.32,10670.7
6.6,1715.92,10670.7
6.61,1718.52,10670.7
6.62,1721.12,10670.7
6.63,1723.72,10670.7
6.64,1726.32,10670.7
6.65,1728.92,10670.7
6.66,1731.52,10670.7
6.67,1734.12,10670.7
6.68,1736.72,10670.7
6.69,1739.32,10670.7
6.7,1741.92,10670.7
6.71,1744.52,10670.7
6.72,1747.12,10670.7
6.73,1749.72,10670.7
6.74,1752.32,10670.7
6.75,1754.92,10670.7
6.76,1757.52,10670.7
6.77,1760.12,10670.7
6.78,1762.72,10670.7
6.79,1765.32,10670.7
6.8,1767.92,10670.7
6.81,1770.52,10670.7
6.82,1773.12,10670.7
6.83,1775.72,10670.7
6.84,1778.32,10670.7
6.85,1780.92,10670.7
6.86,1783.52,10670.7
6.87,1786.12,10670.7
6.88,1788.72,10670.7
6.89,1791.31,10670.8
6.9,1793.91,10670.8
6.91,1796.51,10670.8
6.92,1799.11,10670.8
6.93,1801.71,10670.8
