# fitness=158.751
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
2,0,6,1,1,0.852742,0.476154
2,0,6,1,2,0.299472,-0.968805
2,0,6,4,3,0.407403,-0.912538
2,2,6,4,3,0.469835,-0.652888
2,2,6,3,3,0.0705637,-0.647419
2,3,6,4,3,0.0169011,0.236414
2,3,6,3,3,0.103281,-0.111865
2,3,6,3,4,0.0162909,0.859249
2,3,6,4,4,0.797052,0.843924
2,3,6,5,4,0.0342685,-0.174884
2,4,6,4,4,0.204971,-0.694237
2,4,6,3,4,0.374571,0.210391
2,3,6,2,4,0.644988,-0.14689
2,2,6,2,3,0.598264,0.336194
2,4,6,5,4,0.800377,-0.00732795
2,5,6,5,4,0.0721002,-0.452529
2,5,6,4,4,0.918663,-0.84739
2,7,6,7,5,0.701304,-0.141946
2,8,6,7,6,0.779398,-0.700858
2,9,6,7,6,0.968426,0.288113
2,9,6,7,7,0.916301,-0.819997
2,9,6,6,7,0.0817779,0.170009
4,0,7,0,1,0.874311,-0.986731
4,0,7,1,1,0.343773,0.551613
3,0,4,3,1,0.470077,0.692834
3,0,4,3,2,0.248726,0.517107
3,0,4,4,2,0.687055,0.564869
3,1,4,4,2,0.611691,0.295939
3,1,4,4,3,0.257539,0.200251
2,1,4,4,3,0.708121,0.642127
2,2,4,4,3,0.23346,-0.43211
2,2,4,5,3,0.396726,0.205927
2,2,3,5,3,0.689176,0.478528
2,3,3,5,3,0.944614,-0.30761
2,3,3,4,3,0.47588,0.0268332
2,3,3,5,4,0.849736,-0.0177145
2,3,3,4,4,0.980952,-0.926891
2,3,3,3,4,0.637772,0.25968
2,3,3,3,3,0.495762,0.0330652
2,4,3,5,4,0.105097,-0.451326
2,4,3,4,4,0.908997,0.969502
2,4,3,3,4,0.521558,-0.298978
2,4,2,5,4,0.52988,0.160457
2,4,2,4,4,0.366788,-0.543321
2,4,2,6,4,0.874838,-0.034435
2,4,2,7,4,0.851467,0.539345
2,5,2,7,4,0.232384,-0.532363
2,5,2,6,4,0.566338,-0.635003
2,6,2,6,5,0.860934,0.718302
2,6,2,7,5,0.821118,-0.187367
2,7,2,7,5,0.564995,-0.308931
2,7,2,6,5,0.0589482,0.0613365
2,7,2,5,5,0.763009,-0.97626
2,7,2,4,5,0.319339,-0.634482
2,6,2,4,5,0.346278,0.27473
5,0,7,1,0,0.96663,0.482196
4,0,7,2,1,0.00211014,-0.632746
3,0,4,2,2,0.658732,-0.51796
3,0,4,1,2,0.998962,-0.413474
3,0,4,0,2,0.109873,0.227546
3,0,5,0,2,0.647226,-0.986277
2,0,4,0,2,0.836004,-0.263776
2,0,4,0,1,0.746336,-0.989458
2,0,5,0,1,0.00685336,0.284235
2,0,5,1,1,0.570993,0.90612
2,0,5,2,1,0.825218,-0.944587
2,0,4,2,1,0.0920373,0.172237
2,0,4,2,2,0.0418446,-0.17501
2,0,4,1,2,0.469,0.992133
2,0,4,3,2,0.664988,-0.413251
2,0,4,4,2,0.269285,0.820126
2,0,4,5,2,0.845257,-0.886487
2,0,5,4,2,0.721472,0.515364
2,0,5,5,2,0.56785,0.14397
2,0,6,4,2,0.860657,-0.710381
2,0,5,3,2,0.121633,-0.835422
2,1,5,3,2,0.79189,-0.287275
2,1,5,2,2,0.700291,0.144846
2,1,5,2,3,0.723179,-0.417374
2,1,5,1,2,0.293429,0.00175377
2,1,5,3,3,0.966704,0.719649
2,1,5,4,3,0.60743,-0.906855
2,2,5,3,3,0.0702956,-0.118729
2,2,5,2,3,0.158713,-0.818131
2,1,5,1,3,0.610795,0.277915
2,1,4,3,3,0.809815,-0.812518
2,1,4,2,3,0.834639,0.848911
2,1,4,1,3,0.799724,0.307525
2,1,4,3,2,0.78075,-0.123454
2,1,4,1,2,0.338855,-0.811452
2,0,5,1,2,0.874733,0.429691
2,0,5,0,2,0.31368,0.766905
1,0,5,1,2,0.440607,-0.875998
1,0,5,2,2,0.482313,-0.614978
1,0,5,3,2,0.859626,0.940152
1,0,4,3,2,0.618346,-0.759885
1,1,4,3,2,0.548968,-0.348245
1,1,4,2,2,0.0958857,0.508627
1,1,4,2,3,0.112157,-0.18815
1,1,4,3,3,0.446987,0.160115
1,2,4,3,3,0.0376339,-0.837768
1,2,4,2,3,0.776048,-0.593564
1,2,3,3,3,0.576354,-0.20588
1,2,3,4,3,0.622901,0.674068
1,3,3,3,3,0.0267398,0.85711
1,3,3,4,3,0.0438999,0.272421
1,3,3,4,4,0.0373674,-0.986233
1,4,3,4,4,0.443921,-0.054151
1,3,3,3,4,0.949193,-0.908317
1,3,3,5,3,0.286574,-0.0531273
1,3,3,5,4,0.737252,0.910469
1,3,2,4,3,0.873018,0.167802
1,4,2,4,4,0.275303,0.389495
1,4,2,5,4,0.0854341,0.154377
1,4,2,6,4,0.886632,-0.903736
1,5,2,6,4,0.977646,0.233778
1,5,2,5,4,0.0603577,0.711658
1,6,2,5,5,0.963093,0.0808893
1,6,2,6,5,0.703885,0.705351
1,6,2,7,5,0.264871,0.518592
1,7,2,7,5,0.396815,0.521038
1,7,2,7,6,0.121705,-0.547724
1,8,2,7,6,0.0707092,-0.588773
1,8,2,6,6,0.897843,-0.00658242
3,0,6,0,0,0.414509,0.646449
2,0,7,2,1,0.353821,0.170271
1,1,7,2,3,0.801214,0.679063
1,1,7,1,3,0.160619,-0.420656
1,0,7,1,3,0.983842,0.344073
