# fitness=162.568
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
1,9,6,9,7,0.80983,-0.51456
1,9,6,8,7,0.611843,-0.772828
1,9,6,7,7,0.589052,0.420342
1,9,6,6,7,0.340867,0.679245
3,1,5,5,2,0.695562,0.907957
3,1,5,5,3,0.656493,-0.0678406
3,2,6,1,3,0.985611,-0.386537
3,4,5,7,4,0.944089,0.19323
5,0,7,1,0,0.979943,-0.924809
4,0,7,2,1,0.29566,-0.145857
4,0,7,1,2,0.0499482,0.709094
4,0,7,0,2,0.0158538,0.68386
3,1,7,4,3,0.725299,-0.412304
3,1,7,5,3,0.967489,0.811399
3,2,7,5,3,0.20852,0.502166
3,2,7,5,4,0.906509,-0.853145
3,2,7,4,4,0.632998,0.0111229
3,2,7,3,4,0.235938,-0.00340235
3,2,7,3,3,0.194013,-0.794205
3,2,7,4,3,0.185908,-0.99558
2,7,7,3,5,0.455061,-0.906394
2,4,7,4,4,0.288934,-0.151827
3,7,7,4,5,0.0204543,0.731643
3,7,7,3,5,0.81152,-0.483015
3,6,7,3,5,0.803907,0.735292
3,5,7,3,4,0.720775,0.0501452
3,5,7,4,4,0.577962,0.0530077
3,4,7,4,4,0.762368,-0.640883
3,4,7,3,4,0.827253,0.605876
3,6,7,4,5,0.262224,-0.645985
3,5,7,5,4,0.637938,-0.758534
3,5,7,6,4,0.178272,-0.263524
3,6,7,6,5,0.898959,0.0684154
3,7,7,6,5,0.610281,-0.67427
3,8,7,6,5,0.803958,0.682112
3,9,7,6,5,0.747724,-0.871786
3,9,7,6,6,0.315166,0.86266
3,3,7,4,4,0.829618,-0.636998
3,3,7,5,4,0.579422,0.437354
3,4,7,5,4,0.283199,-0.00395587
3,4,7,6,4,0.901334,-0.546743
3,6,7,7,5,0.784266,0.783341
3,7,7,7,5,0.487646,0.899064
3,8,7,7,5,0.426109,0.315808
3,9,7,7,5,0.538972,0.763184
3,9,7,7,6,0.826525,-0.650735
3,9,7,5,6,0.936626,-0.849737
3,9,7,4,6,0.486553,-0.33023
3,9,7,4,5,0.0106179,0.694214
3,8,7,4,5,0.372804,0.8041
3,7,7,5,5,0.880754,0.928057
2,7,6,4,5,0.227741,0.208602
2,6,6,4,5,0.7481,-0.532988
2,9,7,8,6,0.398392,-0.295296
3,9,6,9,7,0.817163,-0.595556
3,9,6,9,8,0.786588,-0.117743
2,0,7,0,0,0.780372,-0.503077
2,9,7,6,7,0.645038,0.826147
2,9,7,5,7,0.410633,0.806221
2,9,7,6,6,0.646266,0.353387
2,8,7,6,5,0.590008,-0.684193
2,4,6,2,4,0.340354,-0.720897
2,3,7,3,3,0.695761,-0.170083
