# fitness=158.727
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
3,0,5,1,2,0.235469,0.389285
1,1,7,4,3,0.784113,-0.0886912
1,2,7,5,3,0.833125,-0.438782
1,2,7,5,4,0.374941,-0.238692
1,3,7,5,4,0.981526,-0.089375
1,4,7,5,4,0.523334,-0.438623
1,4,7,6,4,0.532442,0.561937
1,5,7,6,4,0.327321,0.0510421
1,6,7,6,5,0.386235,-0.390584
1,7,7,6,5,0.891512,0.500707
1,7,7,7,5,0.744954,-0.868966
1,8,7,7,5,0.663623,0.761568
1,9,7,7,5,0.636077,0.183787
2,9,7,8,6,0.0412053,0.26344
3,1,5,5,3,0.731494,-0.877515
3,2,5,5,3,0.0613577,-0.98088
3,2,5,4,3,0.694891,0.412939
2,0,7,0,0,0.877351,-0.607523
2,0,7,0,2,0.559825,-0.342049
1,0,7,1,2,0.734404,-0.102503
1,0,7,2,2,0.779099,-0.740149
1,0,7,3,2,0.367358,0.100483
1,0,7,3,3,0.469838,-0.0988781
1,0,7,2,3,0.239857,0.810583
1,2,7,6,4,0.426863,0.170522
1,3,7,6,4,0.366896,0.465547
1,4,7,7,4,0.640149,-0.436785
1,5,7,7,4,0.987064,0.909785
1,6,7,7,5,0.40972,-0.557601
1,9,7,5,5,0.210733,-0.436453
1,8,7,5,5,0.807851,0.758427
1,8,7,6,5,0.974218,0.0163523
2,2,7,6,3,0.067791,-0.928358
3,0,5,3,1,0.49425,-0.75945
3,0,4,1,1,0.135887,0.948668
3,0,4,0,1,0.900967,0.491599
3,1,5,2,2,0.753639,-0.30337
3,2,5,3,3,0.453997,0.0746973
3,3,5,4,3,0.6984,-0.527223
3,3,5,5,3,0.885958,-0.971517
3,3,5,5,4,0.22526,-0.185469
3,5,5,6,4,0.528256,-0.900352
3,9,5,7,7,0.441969,-0.79163
3,2,7,1,3,0.402621,0.72118
3,1,5,1,2,0.849897,0.978867
3,9,7,9,6,0.875054,0.817126
3,9,7,9,8,0.702746,-0.315991
3,9,7,8,5,0.536496,-0.757548
3,9,7,9,5,0.676702,-0.859
2,9,7,7,5,0.700597,0.726388
2,4,7,5,4,0.455678,0.236983
2,5,7,5,4,0.654473,-0.342256
2,8,7,5,5,0.566934,-0.588519
2,2,7,6,4,0.266809,0.416427
2,3,7,7,4,0.687348,-0.572772
2,4,7,7,4,0.549766,0.0224902
2,5,7,7,4,0.537402,0.382019
2,6,7,7,5,0.762923,0.724474
2,9,7,8,7,0.000904517,-0.183695
2,9,7,6,7,0.732395,-0.155532
2,9,7,5,7,0.0357853,-0.0761038
2,9,7,5,6,0.145811,0.354191
2,0,7,3,1,0.793974,0.766723
2,8,7,4,5,0.452478,-0.235163
2,7,7,4,5,0.715733,0.891482
2,7,7,5,5,0.736838,0.173792
5,0,3,0,0,0.737229,-0.250652
2,3,6,3,3,0.836647,-0.810856
2,6,5,5,5,0.686037,0.0243453
2,7,5,6,5,0.993607,0.440203
2,7,5,5,5,0.386062,0.965753
2,7,5,7,5,0.281821,0.134944
2,8,5,7,5,0.182085,0.466426
2,8,5,6,5,0.00607919,-0.635337
4,0,7,0,2,0.94373,-0.885585
3,3,6,2,4,0.193024,-0.778547
3,3,6,2,3,0.205149,-0.000415239
3,7,6,3,5,0.906126,-0.905453
2,5,5,5,4,0.295213,0.993618
2,6,4,4,5,0.500297,0.397583
2,5,4,3,4,0.756668,0.761993
2,4,4,3,4,0.0981384,-0.11923
2,4,4,2,4,0.975895,-0.217488
2,3,4,2,4,0.463919,-0.914969
2,3,4,3,4,0.648615,0.43669
2,3,4,4,4,0.0278645,-0.730872
2,3,4,4,3,0.996616,-0.594526
2,3,4,5,4,0.407495,-0.190913
2,3,4,6,4,0.880756,-0.313734
2,4,4,6,4,0.0535207,0.92896
2,6,4,7,5,0.500774,-0.835809
5,0,7,2,1,0.149322,0.310128
4,9,7,5,6,0.619859,0.456712
4,9,7,4,6,0.731645,-0.294306
3,0,7,0,2,0.201807,-0.706252
1,2,7,4,4,0.862478,0.478256
1,5,7,5,4,0.381539,0.118938
1,6,7,5,5,0.327352,-0.82698
1,7,7,5,5,0.714476,-0.457094
1,9,7,6,5,0.652411,-0.42325
1,9,7,3,5,0.976497,-0.291617
1,8,7,3,5,0.119176,-0.051027
1,7,7,3,5,0.516021,-0.324373
2,8,5,7,6,0.883793,-0.55041
2,9,5,7,6,0.569318,0.814604
